My age is:,I've worked in design for:,I make:,My job is great because:,My skills include:,I am:,I work in:,I typically work:
37,15 - 20 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|I'm in the position to scale my business,Business operations|Data visualization|Leadership|Mentoring|Project management,"Happy, but there's room for improvement",Communication / Graphic design|Data science|Interaction design|Strategy,51 - 60 hours
30,5 - 9 years,"$75,000 to $99,999",I have the opportunity to learn new skills|My role is valued|I respect the people I work with|There's flexibility over where and when I work,Art direction|Drawing / Painting|Project management|Public speaking|Research,"Not really satisfied, but I deal",Communication / Graphic design|Environmental design|Illustration|Social impact design,41 - 50 hours
30,5 - 9 years,"$50,000 to $74,999",I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Data visualization|Photography|Public speaking|Research,"Not really satisfied, but I deal",Communication / Graphic design|Strategy,41 - 50 hours
52,15 - 20 years,"$50,000 to $74,999",I have the opportunity to learn new skills|I feel creatively satisfied|The standard of work is pretty high|I'm solving worthwhile problems|There's flexibility over where and when I work,Business development|Mentoring|UX design,"Not really satisfied, but I deal",AI / Algorithm design|Interaction design|Research|Strategy|UX design,61 + hours
37,15 - 20 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I respect the people I work with|I'm paid what I'm worth,Art direction|Coding|Leadership|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Motion graphics|Strategy|UI design|UX design,41 - 50 hours
30,10 - 14 years,"$75,000 to $99,999",I respect the people I work with,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Leadership|Project management|UX design",Ready to call it quits,Communication / Graphic design,41 - 50 hours
30,5 - 9 years,"$50,000 to $74,999",I have the opportunity to learn new skills|My role is valued|I feel creatively satisfied|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work,Art direction|Drawing / Painting|Leadership|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Experience design|Illustration|UI design|UX design,41 - 50 hours
28,5 - 9 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I respect the people I work with|There's flexibility over where and when I work|I have a manageable workload,Art direction|Drawing / Painting|Film / Video,Extremely satisfied with my work situation,Communication / Graphic design,40 hours
25,1 - 4 years,"$75,000 to $99,999",I respect the people I work with|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Coding|Facilitation|Mentoring|Research|UX design,"Not really satisfied, but I deal",Experience design|Interaction design|Research|Service design|UX design,40 hours
24,1 - 4 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Facilitation|Research|UI design|UX design,Extremely satisfied with my work situation,Experience design|Interaction design|Service design|Strategy|UX design,40 hours
29,5 - 9 years,"$50,000 to $74,999",I have the opportunity to learn new skills|The standard of work is pretty high|Benefits are sufficient (and maybe some perks on the side),Art direction|Drawing / Painting|Film / Video|Mentoring|Photography,Ready to call it quits,Communication / Graphic design|Illustration|Motion graphics|Social impact design|Strategy,41 - 50 hours
23,1 - 4 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm in the position to scale my business|I have no problem acquiring new client work|I have a manageable workload,Art direction|Coding|Data visualization|Leadership|Mentoring,Extremely satisfied with my work situation,Animation|Communication / Graphic design,41 - 50 hours
31,5 - 9 years,"$25,000 to $34,999",I have the opportunity to learn new skills|I respect the people I work with,Data analysis|Drawing / Painting|Leadership|Project management|SEO / Social Media,"Not really satisfied, but I deal",Communication / Graphic design,40 hours
29,5 - 9 years,"$75,000 to $99,999",I have the opportunity to learn new skills|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Film / Video|Photography","Happy, but there's room for improvement",Animation|Communication / Graphic design|Motion graphics,40 hours
24,1 - 4 years,"$50,000 to $74,999",Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Data analysis|Data visualization|Research|UI design|UX design,"Not really satisfied, but I deal",Data science|Experience design|Strategy|UX design,40 hours
